Time	Energy 	Sigma 	Initial_temperature 	Density_of_water 	Depth_of_mixed_layer 	Specific_heat_of_water 	Heat_capacity 	Temperature 	Seconds_per_year 	Solar_constant 	Albedo 	Solar 	IR 	T_Celsius 	
Years	Stock 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Flow 	Flow 	Converter 	
0 	 10 	 0.1
0 	57607335000 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	273.15 	31536000 	1367 	0.3 	7544199600 	9953225558.365 	0
0.1 	57366432404.163 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	272.00774018096 	31536000 	1367 	0.3 	7544199600 	9787777229.2636 	-1.1422598190446
0.2 	57142074641.237 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	270.94392907177 	31536000 	1367 	0.3 	7544199600 	9635554768.7789 	-2.206070928226
0.3 	56932939124.359 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	269.95229551617 	31536000 	1367 	0.3 	7544199600 	9495265789.5057 	-3.1977044838347
0.4 	56737832505.409 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	269.02718115414 	31536000 	1367 	0.3 	7544199600 	9365773944.4616 	-4.1228188458574
0.5 	56555675070.963 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	268.16346643415 	31536000 	1367 	0.3 	7544199600 	9246076244.8436 	-4.9865335658487
0.6 	56385487406.478 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	267.35650738017 	31536000 	1367 	0.3 	7544199600 	9135284210.4249 	-5.7934926198286
0.7 	56226378945.436 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	266.60208129652 	31536000 	1367 	0.3 	7544199600 	9032608120.2252 	-6.547918703482
0.8 	56077538093.413 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	265.89633994032 	31536000 	1367 	0.3 	7544199600 	8937343786.3437 	-7.2536600596817
0.9 	55938223674.779 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	265.23576896529 	31536000 	1367 	0.3 	7544199600 	8848861393.0993 	-7.9142310347142
1 	55807757495.469 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	264.61715265751 	31536000 	1367 	0.3 	7544199600 	8766596035.9051 	-8.5328473424901
1.1 	55685517851.878 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	264.03754315732 	31536000 	1367 	0.3 	7544199600 	8690039666.219 	-9.1124568426822
1.2 	55570933845.256 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	263.4942335005 	31536000 	1367 	0.3 	7544199600 	8618734205.3266 	-9.6557664994954
1.3 	55463480384.724 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	262.98473392472 	31536000 	1367 	0.3 	7544199600 	8552265634.2461 	-10.165266075279
