#time,Andrea:member_47,Tony:member_48,Freddie:member_1057,Betty:member_1067,
20052701,55,55,56,56,
20052702,55,55,56,56,
20052703,55,55,56,56,
20052704,55,55,56,56,
20052705,55,55,56,56,
20052706,55,55,56,56,
20052707,55,55,56,56,
20052708,55,55,56,56,
20052709,55,55,56,56,
20052710,55,55,56,56,
20052711,55,55,56,56,
20052712,55,55,56,56,
20052713,73,73,56,259,
20052714,73,73,56,259,
20052715,55,55,56,56,
20052716,55,55,56,56,
20052717,55,55,56,56,
20052718,55,55,56,56,
20052719,55,55,56,56,
20052720,55,55,56,56,
20052721,55,55,56,56,
20052722,55,55,56,56,
20052723,55,73,56,259,
20052724,55,73,56,259,
20052725,55,55,56,56,
20052726,55,55,56,56,
20052727,55,55,56,56,
20052728,55,55,56,56,
20052729,55,55,56,56,
20052730,55,55,56,56,
20052731,55,55,56,56,
20052732,55,55,56,56,
20052733,73,73,56,259,
20052734,73,73,56,259,
20052735,73,73,56,259,
20052736,73,73,56,259,
20052737,73,73,56,259,
20052738,55,55,56,56,
20052739,55,55,56,56,
20052740,55,55,56,56,
20052741,55,55,56,56,
20052742,55,55,56,56,
20052743,55,55,56,56,
20052744,55,55,56,56,
20052745,55,55,56,56,
20052746,55,55,56,56,
20052747,55,55,56,56,
20052748,55,55,56,56,
20052749,55,55,56,56,
20052750,55,55,56,56,
20052751,55,55,56,56,
20052752,55,55,56,56,
20052753,73,55,56,56,
20052754,73,55,56,56,
20052755,73,55,56,56,
20052756,73,55,56,56,
20052757,73,55,56,56,
20052758,73,55,56,56,
20052759,73,55,56,56,
20052760,55,55,56,56,
20052761,55,55,56,56,
20052762,55,55,56,56,
20052763,55,55,56,56,
20052764,55,55,56,56,
20052765,55,55,56,56,
20052766,55,55,56,56,
20052767,55,55,56,56,
20052768,55,55,56,56,
20052769,55,55,56,56,
20052770,55,55,56,56,
20052771,55,55,56,56,
20052772,55,55,56,56,
20052773,55,55,56,259,
20052774,55,55,56,259,
20052775,55,55,56,259,
20052776,55,55,56,259,
20052777,55,55,56,56,
20052778,55,55,56,56,
20052779,55,55,56,56,
20052780,55,55,56,56,
20052781,55,55,56,56,
20052782,55,55,56,56,
20052783,55,55,56,56,
20052784,55,55,56,56,
20052785,55,55,56,56,
20052786,55,55,56,56,
